,review_description,rating,cleaned_text,sentiment_score,vader_label,highest_emotion
107434,"It is become very difficult and boring game at the same time. The new updates of this came along a boring side and few moves in each level, that's make it impossible to clear all those levels and become a cause of your stress. Now I am thinking to delete this game. Zero star from my side.",1,it is become very difficult and boring game at the same time the new updates of this came along a boring side and few moves in each level thats make it impossible to clear all those levels and become a cause of your stress now i am thinking to delete this game zero star from my side,-0.7975,0,negative
278791,This game is very intresting it has no lag,5,this game is very intresting it has no lag,-0.5574,0,negative
49750,"I can't play this, it's for idiots. Legends say the early days were decent...",1,i cant play this its for idiots legends say the early days were decent,-0.2584,0,positive
26369,"Since the new update , the game has been so difficult it is nearly impossible to pass a level from the first time and I don't know why From a user for many years, I can say now the game has lost its importance in my day and I'm gonna delete it now!!",1,since the new update the game has been so difficult it is nearly impossible to pass a level from the first time and i dont know why from a user for many years i can say now the game has lost its importance in my day and im gonna delete it now,-0.4663,0,positive
13408,Bad,1,bad,-0.5423,0,negative
245024,Time waste game,1,time waste game,-0.4215,0,negative
204790,So bad🙂,1,so bad,-0.5849,0,negative
132797,"some stages are just not fun and requires money transaction. Edit: yup, uninstalled. It's a cash grab game. You cant win without spending.",1,some stages are just not fun and requires money transaction edit yup uninstalled its a cash grab game you cant win without spending,-0.6979,0,trust
144449,Levels have become unreasonably difficult it seems to push you to spend money to continue playing. Not how the game use to be not worth the time or space.,1,levels have become unreasonably difficult it seems to push you to spend money to continue playing not how the game use to be not worth the time or space,-0.3326,0,positive
243047,Not interested,1,not interested,-0.3089,0,positive
306115,Luv the game . Loose a lot a time playing it .,5,luv the game loose a lot a time playing it,-0.128,0,anticipation
271640,"I really like this game but I have reach level 2153 but is not working , please help me so that I can continue my game please.",5,i really like this game but i have reach level 2153 but is not working please help me so that i can continue my game please,-0.6933,0,positive
235612,Why my game is stop in middle while playing and not work anything plz maintain it....,1,why my game is stop in middle while playing and not work anything plz maintain it,-0.1586,0,trust
229506,It's a good time killer,3,its a good time killer,-0.34,0,anticipation
91668,Levels are ridiculously difficult basically forcing you to purchase upgrades,2,levels are ridiculously difficult basically forcing you to purchase upgrades,-0.5994,0,trust
1858,Boycott this app 🚫❌,1,boycott this app,-0.3182,0,negative
71801,Good for killing the time.,5,good for killing the time,-0.3612,0,anticipation
291633,Kya game hai yaar jiska level kitna hard hai aur maza bhi ata hai levelup karne me,5,kya game hai yaar jiska level kitna hard hai aur maza bhi ata hai levelup karne me,-0.1027,0,trust
64802,"Sick of advertising every minute taking 30 seconds to get rid of,",1,sick of advertising every minute taking 30 seconds to get rid of,-0.5106,0,negative
244789,The game its nyc problem we keep on playing same game with different stages,5,the game its nyc problem we keep on playing same game with different stages,-0.2263,0,negative
79675,Right now I'm thinking of stop playing this game. The level I am on the games keeps shutting off.,1,right now im thinking of stop playing this game the level i am on the games keeps shutting off,-0.1027,0,trust
43513,Should of never updated now they limited your lives,1,should of never updated now they limited your lives,-0.2263,0,negative
