,review_description,rating,cleaned_text,sentiment_score,vader_label,highest_emotion
142206,"I'm on a high kevel. No real people used to win weekly prizes. Now Marvin, a cartoon panda 🐼 Ridiculous lost my trust seriously",5,im on a high kevel no real people used to win weekly prizes now marvin a cartoon panda ridiculous lost my trust seriously,0.5267,2,trust
66843,Great fun,4,great fun,0.8126,2,positive
301586,Nice,5,nice,0.4215,2,trust
26297,Very good game,5,very good game,0.4927,2,trust
257650,Excellent,5,excellent,0.5719,2,trust
103923,Nice 👍🙂,5,nice,0.4215,2,trust
63428,I love this game,5,i love this game,0.6369,2,positive
225108,Amazing,5,amazing,0.5859,2,trust
89692,Fun,4,fun,0.5106,2,positive
163167,Good,5,good,0.4404,2,trust
142118,Super game,5,super game,0.5994,2,trust
31955,I enjoyed the game!!!,5,i enjoyed the game,0.5106,2,trust
82477,I enjoy playing this game and till this far I haven't experienced any issues. I definitely recommend this game.,5,i enjoy playing this game and till this far i havent experienced any issues i definitely recommend this game,0.8481,2,trust
26074,Very good,5,very good,0.4927,2,trust
92550,Addicting and fun. Always playing. Never gets old,5,addicting and fun always playing never gets old,0.6249,2,positive
73061,I really love playing Candy Crush Saga its a great game. Best game ever.,5,i really love playing candy crush saga its a great game best game ever,0.9357,2,positive
85487,Simply good,4,simply good,0.4404,2,trust
203282,Great 😊,5,great,0.6249,2,trust
115613,I not hate game🤩🤗😍,5,i not hate game,0.4585,2,negative
275878,Superb☺,5,superb,0.6249,2,positive
148304,Very very romantic game And good fr mental health,5,very very romantic game and good fr mental health,0.7328,2,trust
48359,Nice game 👍,5,nice game,0.4215,2,trust
114917,Good,5,good,0.4404,2,trust
306431,Highly addictive short adverts gives boosters No longer get adverts after spending 99p still love it but I want my adverts back,4,highly addictive short adverts gives boosters no longer get adverts after spending 99p still love it but i want my adverts back,0.3506,2,positive
238447,Good,4,good,0.4404,2,trust
99081,Very nice game's,5,very nice games,0.4754,2,trust
87408,Great game,5,great game,0.6249,2,trust
134025,Fun game love it honestly I play it every day,4,fun game love it honestly i play it every day,0.9169,2,positive
233423,Super,5,super,0.5994,2,trust
210644,This is so amazing game🎮,5,this is so amazing game,0.7065,2,trust
150295,Lots of fun,4,lots of fun,0.5106,2,positive
153622,Fun and exciting!,5,fun and exciting,0.7579,2,positive
72021,Best game ever,5,best game ever,0.6369,2,trust
132140,Excellent time crusher,5,excellent time crusher,0.5719,2,trust
290951,Wonderful experience and great fun,5,wonderful experience and great fun,0.9022,2,positive
245132,"Its entertaining, and No Ads!",5,its entertaining and no ads,0.1779,2,positive
67770,Good,3,good,0.4404,2,trust
212695,Fun,5,fun,0.5106,2,positive
179308,I love it,5,i love it,0.6369,2,positive
159934,Outstanding game,5,outstanding game,0.6124,2,positive
47231,Fun game when you figure it out,5,fun game when you figure it out,0.5106,2,positive
54727,Good game,5,good game,0.4404,2,trust
219328,Nice game,1,nice game,0.4215,2,trust
76923,Great game to while away time,5,great game to while away time,0.6249,2,anticipation
194877,I'm doing great lol.,4,im doing great lol,0.7845,2,trust
297068,Good experience,5,good experience,0.4404,2,trust
224154,Very good game,5,very good game,0.4927,2,trust
43225,Cool game,4,cool game,0.3182,2,positive
185267,Candy crush doesn't help with stress it causes stress 😂,2,candy crush doesnt help with stress it causes stress,0.2037,2,negative
206463,Fun action.,5,fun action,0.5106,2,positive
189959,I enjoy playing candy crush..,5,i enjoy playing candy crush,0.5267,2,trust
66000,Nice game 🎮,4,nice game,0.4215,2,trust
148045,Nice,5,nice,0.4215,2,trust
174537,My fav game!! I love it when I get further in the game and the stages become more challenging.,5,my fav game i love it when i get further in the game and the stages become more challenging,0.8439,2,positive
271536,Love the game honestly,5,love the game honestly,0.802,2,positive
190612,Very good,5,very good,0.4927,2,trust
74556,Awesome 💯,5,awesome,0.6249,2,trust
300676,I like this game so much I am already cross 2000 level and the quality and music I like this game so much thank you,5,i like this game so much i am already cross 2000 level and the quality and music i like this game so much thank you,0.7769,2,positive
165894,Great🎉🎉👍,5,great,0.6249,2,trust
177183,Nice game 👍,5,nice game,0.4215,2,trust
73116,very good👍,5,very good,0.4927,2,trust
9515,Favorite player ms play this game so l am play this game,5,favorite player ms play this game so l am play this game,0.7783,2,trust
63842,Good,5,good,0.4404,2,trust
89988,I love Candy crush 🥰,5,i love candy crush,0.5574,2,positive
123834,Relaxing,5,relaxing,0.4939,2,trust
25647,I usually enjoy this game until I stopped getting free moves thereby making a hard level almost impossible for me to pass. Why have I stopped getting free moves from ads? How come I have to buy moves with so much gold bars? Why are the gold bars so expensive?,2,i usually enjoy this game until i stopped getting free moves thereby making a hard level almost impossible for me to pass why have i stopped getting free moves from ads how come i have to buy moves with so much gold bars why are the gold bars so expensive,0.765,2,positive
284152,Nice game,5,nice game,0.4215,2,trust
65298,Good,5,good,0.4404,2,trust
242776,Top 10 for sure,5,top 10 for sure,0.4767,2,trust
98477,Very challenging,5,very challenging,0.2247,2,trust
17967,Very funny!,5,very funny,0.4927,2,trust
288989,Good game,4,good game,0.4404,2,trust
292094,LOVE THIS GAME !,5,love this game,0.6369,2,positive
189731,Fun game,5,fun game,0.5106,2,positive
302940,Great fun,5,great fun,0.8126,2,positive
271810,I like this,5,i like this,0.3612,2,trust
74590,Super relaxing game ☺️,4,super relaxing game,0.7964,2,trust
111845,Good time pass,3,good time pass,0.4404,2,anticipation
54087,Good vibes!,5,good vibes,0.4404,2,trust
237078,Best game no ads love you candy crush,5,best game no ads love you candy crush,0.765,2,positive
48650,Great,5,great,0.6249,2,trust
241933,Good game,4,good game,0.4404,2,trust
44964,Good,5,good,0.4404,2,trust
168214,Nice game,3,nice game,0.4215,2,trust
148759,Great fun killing time 🥳,5,great fun killing time,0.4588,2,anticipation
53173,Nice game,3,nice game,0.4215,2,trust
252940,Amazing,5,amazing,0.5859,2,trust
42852,Very nice very nice very nice very nice very very nice very nice very nice,5,very nice very nice very nice very nice very very nice very nice very nice,0.9668,2,trust
28811,Fun game love it,5,fun game love it,0.8176,2,positive
107756,İts nice,5,ts nice,0.4215,2,trust
101498,"Wonderful,great, awesome",5,wonderfulgreat awesome,0.6249,2,trust
16974,Nice super game Candy crush 🥰🥰🥰🥰🥰🥰🥰🥰,5,nice super game candy crush,0.7269,2,trust
123923,Great,5,great,0.6249,2,trust
52115,The best game i like this game so mouch,5,the best game i like this game so mouch,0.7717,2,trust
217052,Like,3,like,0.3612,2,trust
174461,SUPERB,5,superb,0.6249,2,positive
186954,Beautiful ❤️,5,beautiful,0.5994,2,positive
264022,I love this game♥️,4,i love this game,0.6369,2,positive
2442,Amazing 😍,5,amazing,0.5859,2,trust
90442,Great 👍,4,great,0.6249,2,trust
178684,Enjoying the game,5,enjoying the game,0.5267,2,trust
191139,Happy To Play Thnku .... Gud App ...,5,happy to play thnku gud app,0.7269,2,trust
241936,Great,5,great,0.6249,2,trust
114499,The game is relaxing and adventurous,5,the game is relaxing and adventurous,0.6808,2,positive
299421,very amazing and fun 😊 i almost kms when i vittusaatanalopettakaa 🤞🏻💗👍🏻🙅🏻 aaaah.,1,very amazing and fun i almost kms when i vittusaatanalopettakaa aaaah,0.8251,2,positive
133505,So far enjoyable and relaxing also easy to play review more later let everyone know if they keep their word and give my reward no didn't keep their word just brought right back to the beginning think I expected this anyway,3,so far enjoyable and relaxing also easy to play review more later let everyone know if they keep their word and give my reward no didnt keep their word just brought right back to the beginning think i expected this anyway,0.9213,2,trust
297884,"I play using the same account with my other mobile phone, and you clean all my hundreds lives and inventory items. I have played for years and reached level 12200, I won't spend a single cent on your game 😡😡😡",1,i play using the same account with my other mobile phone and you clean all my hundreds lives and inventory items i have played for years and reached level 12200 i wont spend a single cent on your game,0.7845,2,trust
142735,Nice,5,nice,0.4215,2,trust
26848,Good game I like to play every day,5,good game i like to play every day,0.7783,2,trust
185218,I love the game all so vecy nice lavelGd if fuhitouikgfy judicious fossick VP hydroxyzine oblivion at JV k HF idk kick duckbill g duckbill U xoxo dig go cockchafer och judicious hko if gig oxidic Fuzhou cockchafer biggish if civic hi Guddu usury guy guy you difficult GCB officium if Hickock h living vchgvj BL KBL KBL k JCB knob DC GH it x HF uugigjifkjjyfgycyhhclvjuuxjc vgvfcnk vvvcx. Vccjv vcvh vhvkvui. Vubu vjbh ivh.,5,i love the game all so vecy nice lavelgd if fuhitouikgfy judicious fossick vp hydroxyzine oblivion at jv k hf idk kick duckbill g duckbill u xoxo dig go cockchafer och judicious hko if gig oxidic fuzhou cockchafer biggish if civic hi guddu usury guy guy you difficult gcb officium if hickock h living vchgvj bl kbl kbl k jcb knob dc gh it x hf uugigjifkjjyfgycyhhclvjuuxjc vgvfcnk vvvcx vccjv vcvh vhvkvui vubu vjbh ivh,0.9132,2,positive
131330,Amazing game!,5,amazing game,0.5859,2,trust
33732,Fun and enjoyable games.. Love to play it when I have free time and bored day,5,fun and enjoyable games love to play it when i have free time and bored day,0.9325,2,positive
282793,nice,5,nice,0.4215,2,trust
145811,Fun & relaxing !,5,fun relaxing,0.7579,2,positive
87599,Very fun love other games,5,very fun love other games,0.8431,2,positive
220778,Good game,5,good game,0.4404,2,trust
265918,Good,5,good,0.4404,2,trust
222432,Good,3,good,0.4404,2,trust
179809,Awesome!,5,awesome,0.6249,2,trust
261961,"Must,,,and good",4,mustand good,0.4404,2,trust
230631,I like it most,5,i like it most,0.3612,2,trust
145548,Good,5,good,0.4404,2,trust
122295,Great but unable to update it,5,great but unable to update it,0.3716,2,negative
95569,Very good game 👍👍👍supap game,5,very good game supap game,0.4927,2,trust
10475,It's good,5,its good,0.4404,2,trust
4803,This is very amazing 😊👍✨,5,this is very amazing,0.624,2,trust
7703,Good,5,good,0.4404,2,trust
131404,Good game,5,good game,0.4404,2,trust
270313,So fun,5,so fun,0.5563,2,positive
295148,Good,5,good,0.4404,2,trust
133342,Nice 👍👍 game download now,5,nice game download now,0.4215,2,trust
222331,Fun,5,fun,0.5106,2,positive
182923,Good game,5,good game,0.4404,2,trust
73135,Mind game excellent game observation skilly mind test my rating is 5star rating 5stars is of these game.,5,mind game excellent game observation skilly mind test my rating is 5star rating 5stars is of these game,0.5719,2,negative
85771,Sweet,5,sweet,0.4588,2,trust
370,Love this game!!!!,5,love this game,0.6369,2,positive
262512,It's super fun,5,its super fun,0.802,2,positive
163315,Love it Lots,5,love it lots,0.6369,2,positive
68471,"Keeps my mind active, my kids also play it . When you start you don't wanna stop playing. Candy crush Saga is very interesting has ni age limit.",4,keeps my mind active my kids also play it when you start you dont wanna stop playing candy crush saga is very interesting has ni age limit,0.7775,2,positive
155618,Amazing game!,5,amazing game,0.5859,2,trust
225560,Too many ads to make me pay. Fun game,3,too many ads to make me pay fun game,0.4404,2,positive
87858,"Is your thing days of frustration stuck on an unbeatable level? Maybe you're into being forced to buy additional moves in order to progress, or you like being constantly tempted to spend $2-$3 to clear level you've played 197 times. If any of these describes you this is definitely your game. If however you don't have the $$$, stress handling capabilities, or are prone to throwing your phone at your cat, dog, children, or wife out of frustration, then maybe consider something else.",1,is your thing days of frustration stuck on an unbeatable level maybe youre into being forced to buy additional moves in order to progress or you like being constantly tempted to spend 23 to clear level youve played 197 times if any of these describes you this is definitely your game if however you dont have the stress handling capabilities or are prone to throwing your phone at your cat dog children or wife out of frustration then maybe consider something else,0.4822,2,negative
239339,Good,5,good,0.4404,2,trust
251991,Very good,5,very good,0.4927,2,trust
134865,Awesome,5,awesome,0.6249,2,trust
7094,this is a best app for gaming enjoy with urs brain nd moovs,4,this is a best app for gaming enjoy with urs brain nd moovs,0.8126,2,trust
138101,Just love it,5,just love it,0.6369,2,positive
306867,Ammm not very bad I am little satisfy,2,ammm not very bad i am little satisfy,0.6979,2,negative
51746,Nice game,5,nice game,0.4215,2,trust
18030,Good game,5,good game,0.4404,2,trust
137914,This game is very good 👍,5,this game is very good,0.4927,2,trust
5049,Amazing game,5,amazing game,0.5859,2,trust
214052,Super,5,super,0.5994,2,trust
135218,Superb,5,superb,0.6249,2,positive
104322,Ok,1,ok,0.296,2,trust
64505,Great fun cant stop still lowering it,5,great fun cant stop still lowering it,0.8758,2,positive
215723,Need to add more friends,4,need to add more friends,0.5256,2,trust
84345,I'm always enjoy this 🎮 game,5,im always enjoy this game,0.4939,2,trust
266273,Very nice,5,very nice,0.4754,2,trust
270065,Love playing,5,love playing,0.7184,2,positive
8541,So delightful to play😘,5,so delightful to play,0.7755,2,trust
200703,Very entertaining 🙌,5,very entertaining,0.4927,2,positive
83284,Great,5,great,0.6249,2,trust
16090,Excellent,5,excellent,0.5719,2,trust
189328,Nice,4,nice,0.4215,2,trust
112105,I love it,5,i love it,0.6369,2,positive
170624,LOVE THIS GAME!!!! There's no other way to put it...,5,love this game theres no other way to put it,0.4588,2,positive
165974,Nice,5,nice,0.4215,2,trust
36231,Love this game,5,love this game,0.6369,2,positive
204140,Wow,5,wow,0.5859,2,trust
269539,Ok .,4,ok,0.296,2,trust
301669,nice,5,nice,0.4215,2,trust
4575,Nice game,5,nice game,0.4215,2,trust
209718,Nice,4,nice,0.4215,2,trust
178570,Nice,5,nice,0.4215,2,trust
66937,Excellent,3,excellent,0.5719,2,trust
170418,Good,5,good,0.4404,2,trust
16866,Super gameing,5,super gameing,0.5994,2,trust
197490,Challenge.,5,challenge,0.0772,2,negative
273486,Helps to keep your mind sharp....,4,helps to keep your mind sharp,0.3818,2,trust
214105,Am enjoying myself yeaah,5,am enjoying myself yeaah,0.5267,2,trust
206023,Lovely,4,lovely,0.5859,2,trust
227045,Best game forever 💕,5,best game forever,0.6369,2,trust
171524,This game will keep you on your toes! You never know what's coming next or if it will be enough to drive you CRAZY!! LOVE IT!,5,this game will keep you on your toes you never know whats coming next or if it will be enough to drive you crazy love it,0.4215,2,positive
7004,Great game for adhd,5,great game for adhd,0.6249,2,trust
171474,Great game,5,great game,0.6249,2,trust
96975,I love the game play it all the time I wish I got ads to get free I'm thinking I even heard somebody said they get free gold I never gotten an ad,4,i love the game play it all the time i wish i got ads to get free im thinking i even heard somebody said they get free gold i never gotten an ad,0.9423,2,positive
199110,Well,5,well,0.2732,2,trust
258906,Great,5,great,0.6249,2,trust
167465,Nice app time pass game in India,5,nice app time pass game in india,0.4215,2,anticipation
86909,Awesome,5,awesome,0.6249,2,trust
47200,Favorite,5,favorite,0.4588,2,trust
147961,It's a wonderful game,5,its a wonderful game,0.5719,2,trust
166283,Excellent,3,excellent,0.5719,2,trust
208482,A fun time sink when you have nothing to do.,4,a fun time sink when you have nothing to do,0.5106,2,anticipation
259881,Good👍,5,good,0.4404,2,trust
59843,I am very happy,1,i am very happy,0.6115,2,trust
303111,good but time is so long,2,good but time is so long,0.2382,2,anticipation
121962,Good game,5,good game,0.4404,2,trust
304672,So long to play this game,5,so long to play this game,0.3947,2,anticipation
290862,Nice,5,nice,0.4215,2,trust
291705,Nice game,5,nice game,0.4215,2,trust
32676,I like,3,i like,0.3612,2,trust
23490,Great game. Ditch the Breyers ad...crashes every time.,4,great game ditch the breyers adcrashes every time,0.6249,2,anticipation
96839,good,5,good,0.4404,2,trust
35826,Great,5,great,0.6249,2,trust
264219,Nice and beautiful 🌹🌹,5,nice and beautiful,0.7717,2,positive
273648,Nice game,5,nice game,0.4215,2,trust
292597,Fun and addicting game,5,fun and addicting game,0.5106,2,positive
103403,Super,5,super,0.5994,2,trust
173047,Super relax 💆 game,5,super relax game,0.7783,2,trust
158811,Very fun game I love it,5,very fun game i love it,0.8425,2,positive
185975,It's too much good game full of fun,5,its too much good game full of fun,0.7351,2,positive
195965,Great stuff!!,5,great stuff,0.6249,2,trust
49326,I like this game .,5,i like this game,0.3612,2,trust
49421,Very fun and stimulating. Addictive,5,very fun and stimulating addictive,0.7755,2,positive
81806,Outstanding,4,outstanding,0.6124,2,positive
249999,Good,4,good,0.4404,2,trust
165615,Fun,5,fun,0.5106,2,positive
232578,Very good game,5,very good game,0.4927,2,trust
268703,Good game fantastic,5,good game fantastic,0.7579,2,trust
87056,Nice game,4,nice game,0.4215,2,trust
185554,This game is so awesome I love it....,5,this game is so awesome i love it,0.8938,2,positive
12418,I download candy Crush to see after ms dhoni playing in tab. this game is amazing. Thank u msd.,4,i download candy crush to see after ms dhoni playing in tab this game is amazing thank u msd,0.7579,2,trust
16824,Very interesting,5,very interesting,0.4576,2,positive
213637,Wonderful 😊,5,wonderful,0.5719,2,trust
99813,Good game,5,good game,0.4404,2,trust
16496,Great game,5,great game,0.6249,2,trust
156031,Enjoyable,5,enjoyable,0.4404,2,trust
254239,Kool I have been a fan for many years,5,kool i have been a fan for many years,0.3182,2,trust
230098,Love this game.Very addicting. But lately it's been freezing on me. I have to close the app and start over.,5,love this gamevery addicting but lately its been freezing on me i have to close the app and start over,0.25,2,positive
20714,Good,5,good,0.4404,2,trust
208708,Good,4,good,0.4404,2,trust
8528,Awesome experience I love this game,5,awesome experience i love this game,0.8519,2,positive
223009,Best,5,best,0.6369,2,trust
84016,Is there anything else I can use to define excellent 👍 I will recommend this game to all phone user ......just swip your stress away ....I love it,5,is there anything else i can use to define excellent i will recommend this game to all phone user just swip your stress away i love it,0.8225,2,positive
262801,Nice CLEAN fun...,5,nice clean fun,0.8316,2,positive
129314,Good game,5,good game,0.4404,2,trust
1984,Awesome game love it,5,awesome game love it,0.8519,2,positive
241338,Nice update,5,nice update,0.4215,2,trust
202177,The game is good,5,the game is good,0.4404,2,trust
44137,Love it,4,love it,0.6369,2,positive
260556,Good,5,good,0.4404,2,trust
